id_wikidata	materia
Q153034	Filosofía
Q153232	Filosofía
Q1541	Filosofía
Q154751	Filosofía
Q154959	Filosofía
Q15975	Filosofía
Q159905	Filosofía
Q160362	Filosofía
Q160460	Filosofía
Q160590	Filosofía
Q162145	Filosofía
Q165589	Filosofía
Q166955	Filosofía
Q169243	Filosofía
Q170472	Filosofía
Q171677	Filosofía
Q174929	Filosofía
Q178540	Filosofía
Q178668	Filosofía
Q178709	Filosofía
Q1789540	Filosofía
Q179235	Filosofía
Q179541	Filosofía
Q179785	Filosofía
Q182123	Filosofía
Q182128	Filosofía
Q183144	Filosofía
Q184226	Filosofía
Q184500	Filosofía
Q187520	Filosofía
Q188883	Filosofía
Q189380	Filosofía
Q189597	Filosofía
Q190279	Filosofía
Q190944	Filosofía
Q191359	Filosofía
Q191776	Filosofía
Q192292	Filosofía
Q192313	Filosofía
Q192374	Filosofía
Q192447	Filosofía
Q193769	Filosofía
Q1998646	Filosofía
Q203445	Filosofía
Q2054	Filosofía
Q208238	Filosofía
Q214115	Filosofía
Q2142166	Filosofía
Q214816	Filosofía
Q2236765	Filosofía
Q2236965	Filosofía
Q22738	Filosofía
Q233711	Filosofía
Q254982	Filosofía
Q258369	Filosofía
Q2636432	Filosofía
Q264028	Filosofía
Q264592	Filosofía
Q272119	Filosofía
Q2733908	Filosofía
Q309818	Filosofía
Q310916	Filosofía
Q314488	Filosofía
Q315357	Filosofía
Q316559	Filosofía
Q317098	Filosofía
Q318787	Filosofía
Q334154	Filosofía
Q337311	Filosofía
Q35802	Filosofía
Q36303	Filosofía
Q36330	Filosofía
Q37160	Filosofía
Q37388	Filosofía
Q3745515	Filosofía
Q37577	Filosofía
Q37621	Filosofía
Q378706	Filosofía
Q3796473	Filosofía
Q3796476	Filosofía
Q38066	Filosofía
Q38193	Filosofía
Q39837	Filosofía
Q40591	Filosofía
Q41155	Filosofía
Q41568	Filosofía
Q41630	Filosofía
Q41980	Filosofía
Q42156	Filosofía
Q42458	Filosofía
Q42544	Filosofía
Q4295	Filosofía
Q43216	Filosofía
Q435006	Filosofía
Q43746	Filosofía
Q43936	Filosofía
Q43939	Filosofía
Q44272	Filosofía
Q447	Filosofía
Q457986	Filosofía
Q463846	Filosofía
Q47154	Filosofía
Q48235	Filosofía
Q48301	Filosofía
Q50020	Filosofía
Q57196	Filosofía
Q58586	Filosofía
Q59138	Filosofía
Q60070	Filosofía
Q60080	Filosofía
Q602201	Filosofía
Q6512	Filosofía
Q6527	Filosofía
Q661655	Filosofía
Q679842	Filosofía
Q70991	Filosofía
Q7264	Filosofía
Q737560	Filosofía
Q744738	Filosofía
Q76325	Filosofía
Q76356	Filosofía
Q76516	Filosofía
Q78484	Filosofía
Q8011	Filosofía
Q8018	Filosofía
Q80612	Filosofía
Q80968	Filosofía
Q81244	Filosofía
Q82049	Filosofía
Q82778	Filosofía
Q83041	Filosofía
Q83375	Filosofía
Q839475	Filosofía
Q859	Filosofía
Q868	Filosofía
Q8739	Filosofía
Q8963	Filosofía
Q9047	Filosofía
Q913	Filosofía
Q917440	Filosofía
Q9191	Filosofía
Q9215	Filosofía
Q9235	Filosofía
Q93113	Filosofía
Q9312	Filosofía
Q9353	Filosofía
